numero_commande,date_commande,client,montant_total_commande,sku_produit,produit_designation,quantite,prix_unitaire_cad,sous_total_ligne_cad
CMD-0001004,2023-09-15,Garage Les Experts,2847.09,AIR-43043,Filtre à air (Mahle),10,20.98,209.8
CMD-0001004,2023-09-15,Garage Les Experts,2847.09,RAD-26383,Thermostat piloté (Nissens),2,232.64,465.28
CMD-0001004,2023-09-15,Garage Les Experts,2847.09,CAL-12841,Disque ventilé (Bosch),8,33.95,271.6
CMD-0001004,2023-09-15,Garage Les Experts,2847.09,STR-30208,Capteur vilebrequin (Bosch),3,186.93,560.79
CMD-0001004,2023-09-15,Garage Les Experts,2847.09,CAB-18639,Filtre habitacle charbon (Bosch),12,18.56,222.72
CMD-0001004,2023-09-15,Garage Les Experts,2847.09,CAL-13444,Disque ventilé (Textar),9,124.1,1116.9
CMD-0001005,2023-10-11,Garage Royal,3748.42,STR-03679,Capteur vilebrequin (Bosch),8,431.89,3455.12
CMD-0001005,2023-10-11,Garage Royal,3748.42,CAB-04415,Filtre carburant diesel (Mann-Filter),6,46.78,280.68
CMD-0001005,2023-10-11,Garage Royal,3748.42,CAB-34122,Filtre à huile (Wix),2,6.31,12.62
CMD-0001006,2023-06-11,Garage Les Experts,5067.54,BRK-47157,Plaquettes AR (Textar),2,97.8,195.6
CMD-0001006,2023-06-11,Garage Les Experts,5067.54,RAD-19624,Thermostat piloté (Valeo),12,227.24,2726.88
CMD-0001006,2023-06-11,Garage Les Experts,5067.54,ARM-18332,Rotule de direction (Moog),8,163.35,1306.8
CMD-0001006,2023-06-11,Garage Les Experts,5067.54,FLT-34089,Filtre à huile (Wix),10,19.89,198.9
CMD-0001006,2023-06-11,Garage Les Experts,5067.54,ROT-32765,Disque ventilé (Textar),9,71.04,639.36
CMD-0001007,2023-11-18,Garage Les Experts,5119.56,ARM-28410,Amortisseur bitube (Sachs),4,237.3,949.2
CMD-0001007,2023-11-18,Garage Les Experts,5119.56,CAB-41424,Filtre à air (Mahle),6,31.34,188.04
CMD-0001007,2023-11-18,Garage Les Experts,5119.56,FLT-21593,Filtre carburant diesel (Mann-Filter),3,24.31,72.93
CMD-0001007,2023-11-18,Garage Les Experts,5119.56,SEN-31127,Sonde Lambda amont (Delphi),5,375.39,1876.95
CMD-0001007,2023-11-18,Garage Les Experts,5119.56,BEL-40156,Radiateur alu (Gates),12,169.37,2032.44
CMD-0001008,2023-12-28,Moteurs & Cie,2320.41,AIR-48217,Filtre carburant diesel (Purflux),10,9.84,98.4
CMD-0001008,2023-12-28,Moteurs & Cie,2320.41,ARM-26734,Rotule de direction (KYB),7,317.43,2222.01
CMD-0001009,2023-01-10,Garage Les Experts,3259.25,RAD-45348,Kit distribution + pompe (Nissens),9,238.15,2143.35
CMD-0001009,2023-01-10,Garage Les Experts,3259.25,STR-01648,Bobine d'allumage (Delphi),4,207.71,830.84
CMD-0001009,2023-01-10,Garage Les Experts,3259.25,STR-14810,Bras oscillant inférieur (Monroe),4,51.18,204.72
CMD-0001009,2023-01-10,Garage Les Experts,3259.25,AIR-12056,Filtre à huile (Purflux),3,26.78,80.34
CMD-0001010,2023-02-24,Pneus & Mécanique Pro,3153.22,SEN-34322,Sonde Lambda amont (Denso),3,203.34,610.02
CMD-0001010,2023-02-24,Pneus & Mécanique Pro,3153.22,WAT-35025,Thermostat piloté (Valeo),4,105.74,422.96
CMD-0001010,2023-02-24,Pneus & Mécanique Pro,3153.22,SUS-29359,Amortisseur bitube (Monroe),8,265.03,2120.24
CMD-0001011,2023-07-29,Atelier Mécanique 360,2492.52,STR-01648,Bobine d'allumage (Delphi),12,207.71,2492.52
CMD-0001012,2023-02-28,Auto-Réparation ABC,3992.9,ROT-00061,Plaquettes AR (Ferodo),9,158.12,1423.08
CMD-0001012,2023-02-28,Auto-Réparation ABC,3992.9,SEN-07722,Capteur vilebrequin (Delphi),6,308.97,1853.82
CMD-0001012,2023-02-28,Auto-Réparation ABC,3992.9,CAB-15420,Filtre à huile (Wix),9,11.27,101.43
CMD-0001012,2023-02-28,Auto-Réparation ABC,3992.9,AIR-33497,Filtre à air (Wix),11,15.36,168.96
CMD-0001012,2023-02-28,Auto-Réparation ABC,3992.9,AIR-34888,Filtre à huile (Purflux),9,18.57,167.13
CMD-0001012,2023-02-28,Auto-Réparation ABC,3992.9,FLT-11933,Filtre habitacle charbon (Bosch),8,34.81,278.48
CMD-0001013,2023-04-03,Garage Royal,6272.9,CAL-41810,Étrier reconditionné (Ferodo),5,92.03,460.15
CMD-0001013,2023-04-03,Garage Royal,6272.9,ALT-40616,Capteur vilebrequin (Delphi),11,256.73,2824.03
CMD-0001013,2023-04-03,Garage Royal,6272.9,STR-18970,Bobine d'allumage (Delphi),2,355.44,710.88
CMD-0001013,2023-04-03,Garage Royal,6272.9,STR-17254,Rotule de direction (Monroe),12,189.82,2277.84
CMD-0001014,2023-11-14,Centre Auto Plus,1840.1,ROT-21700,Disque ventilé (Brembo),8,28.75,230.0
CMD-0001014,2023-11-14,Centre Auto Plus,1840.1,CAL-30322,Plaquettes AR (Ferodo),6,133.24,799.44
CMD-0001014,2023-11-14,Centre Auto Plus,1840.1,SUS-12280,Bras oscillant inférieur (Sachs),1,70.37,70.37
CMD-0001014,2023-11-14,Centre Auto Plus,1840.1,CAL-03790,Plaquettes AR (TRW),3,199.87,599.61
CMD-0001014,2023-11-14,Centre Auto Plus,1840.1,ALT-20124,Bobine d'allumage (Bosch),4,35.17,140.68
CMD-0001015,2023-09-25,Garage du Centre,4194.38,FLT-06959,Filtre à air (Mahle),7,59.54,416.78
CMD-0001015,2023-09-25,Garage du Centre,4194.38,SUS-16805,Amortisseur bitube (KYB),10,326.22,3262.2
CMD-0001015,2023-09-25,Garage du Centre,4194.38,BRK-31200,Plaquettes AV (Textar),4,128.85,515.4
CMD-0001016,2023-08-24,Centre Auto Plus,3694.92,CAL-40387,Disque ventilé (TRW),6,156.81,940.86
CMD-0001016,2023-08-24,Centre Auto Plus,3694.92,BEL-31784,Kit distribution + pompe (Gates),3,105.0,315.0
CMD-0001016,2023-08-24,Centre Auto Plus,3694.92,SUS-39270,Ressort hélicoïdal (Moog),11,53.44,587.84
CMD-0001016,2023-08-24,Centre Auto Plus,3694.92,SEN-33635,Bobine d'allumage (Denso),8,98.38,787.04
CMD-0001016,2023-08-24,Centre Auto Plus,3694.92,BEL-29918,Kit distribution + pompe (Valeo),11,82.08,902.88
CMD-0001016,2023-08-24,Centre Auto Plus,3694.92,RAD-32096,Courroie accessoire (Valeo),5,32.26,161.3
CMD-0001017,2023-04-04,Mécanique Rapide Inc.,371.6,WAT-27006,Kit distribution + pompe (SKF),10,37.16,371.6
CMD-0001018,2023-01-21,Concessionnaire XYZ,1922.88,CAB-15420,Filtre à huile (Wix),12,11.27,135.24
CMD-0001018,2023-01-21,Concessionnaire XYZ,1922.88,ALT-23809,Alternateur 140A (Delphi),12,148.97,1787.64
CMD-0001019,2023-06-11,Pneus & Mécanique Pro,102.6,AIR-46739,Filtre carburant diesel (Mann-Filter),6,17.1,102.6
CMD-0001020,2023-12-09,Atelier Mécanique 360,3422.08,SUS-18964,Bras oscillant inférieur (KYB),8,157.57,1260.56
CMD-0001020,2023-12-09,Atelier Mécanique 360,3422.08,SEN-23168,Sonde Lambda amont (Denso),8,270.19,2161.52
CMD-0001021,2023-11-16,Mécanique Rapide Inc.,4412.8,ROT-28158,Plaquettes AV (Textar),3,36.89,110.67
CMD-0001021,2023-11-16,Mécanique Rapide Inc.,4412.8,SEN-09451,Alternateur 140A (Denso),7,471.71,3301.97
CMD-0001021,2023-11-16,Mécanique Rapide Inc.,4412.8,SEN-12051,Alternateur 140A (Valeo),7,142.88,1000.16
CMD-0001022,2023-03-11,Services Automobiles Express,3296.86,BEL-40156,Radiateur alu (Gates),7,169.37,1185.59
CMD-0001022,2023-03-11,Services Automobiles Express,3296.86,ROT-24868,Disque ventilé (Brembo),10,68.75,687.5
CMD-0001022,2023-03-11,Services Automobiles Express,3296.86,FLT-21593,Filtre carburant diesel (Mann-Filter),12,24.31,291.72
CMD-0001022,2023-03-11,Services Automobiles Express,3296.86,CAB-41424,Filtre à air (Mahle),9,31.34,282.06
CMD-0001022,2023-03-11,Services Automobiles Express,3296.86,ARM-28410,Amortisseur bitube (Sachs),2,237.3,474.6
CMD-0001022,2023-03-11,Services Automobiles Express,3296.86,SEN-31127,Sonde Lambda amont (Delphi),1,375.39,375.39
CMD-0001023,2023-12-03,Atelier Mécanique 360,608.09,SEN-46932,Sonde Lambda amont (NGK),2,219.45,438.9
CMD-0001023,2023-12-03,Atelier Mécanique 360,608.09,BRK-46474,Disque ventilé (Bosch),1,169.19,169.19
CMD-0001024,2023-10-05,Garage Tremblay,194.96,SEN-24111,Démarreur 1.8kW (Bosch),1,194.96,194.96
CMD-0001025,2023-07-10,Pneus & Mécanique Pro,5457.22,RAD-36625,Thermostat piloté (Gates),10,32.22,322.2
CMD-0001025,2023-07-10,Pneus & Mécanique Pro,5457.22,RAD-19749,Radiateur alu (Valeo),1,102.22,102.22
CMD-0001025,2023-07-10,Pneus & Mécanique Pro,5457.22,STR-38737,Amortisseur bitube (Moog),8,175.42,1403.36
CMD-0001025,2023-07-10,Pneus & Mécanique Pro,5457.22,SUS-19677,Rotule de direction (Moog),4,93.58,374.32
CMD-0001025,2023-07-10,Pneus & Mécanique Pro,5457.22,CAB-14001,Filtre habitacle charbon (Bosch),2,23.4,46.8
CMD-0001025,2023-07-10,Pneus & Mécanique Pro,5457.22,STR-09279,Capteur vilebrequin (Valeo),8,401.04,3208.32
CMD-0001026,2023-11-19,Garage Royal,3918.32,CAB-44607,Filtre carburant diesel (Wix),5,35.28,176.4
CMD-0001026,2023-11-19,Garage Royal,3918.32,AIR-22486,Filtre à air (Purflux),12,24.15,289.8
CMD-0001026,2023-11-19,Garage Royal,3918.32,RAD-46368,Radiateur alu (Continental),2,36.67,73.34
CMD-0001026,2023-11-19,Garage Royal,3918.32,SUS-15959,Ressort hélicoïdal (Monroe),10,223.72,2237.2
CMD-0001026,2023-11-19,Garage Royal,3918.32,ALT-22957,Alternateur 140A (NGK),11,103.78,1141.58
CMD-0001027,2023-11-06,Services Automobiles Express,1840.66,SEN-18378,Démarreur 1.8kW (Valeo),8,147.29,1178.32
CMD-0001027,2023-11-06,Services Automobiles Express,1840.66,CAB-27811,Filtre à huile (Mahle),1,10.66,10.66
CMD-0001027,2023-11-06,Services Automobiles Express,1840.66,STR-12647,Amortisseur bitube (Bilstein),8,81.46,651.68
CMD-0001028,2023-03-05,Concessionnaire XYZ,7288.43,STR-44217,Capteur vilebrequin (Valeo),2,185.02,370.04
CMD-0001028,2023-03-05,Concessionnaire XYZ,7288.43,BEL-22637,Thermostat piloté (Gates),7,342.85,2399.95
CMD-0001028,2023-03-05,Concessionnaire XYZ,7288.43,WAT-13480,Courroie accessoire (Gates),12,286.54,3438.48
CMD-0001028,2023-03-05,Concessionnaire XYZ,7288.43,BRK-36854,Plaquettes AR (Textar),11,36.74,404.14
CMD-0001028,2023-03-05,Concessionnaire XYZ,7288.43,WAT-13236,Radiateur alu (Nissens),2,337.91,675.82
CMD-0001029,2023-01-12,Garage Les Experts,4675.26,CAL-33854,Disque ventilé (Ferodo),6,86.63,519.78
CMD-0001029,2023-01-12,Garage Les Experts,4675.26,BRK-41670,Flexible de frein (Bosch),11,245.56,2701.16
CMD-0001029,2023-01-12,Garage Les Experts,4675.26,FLT-03169,Filtre carburant diesel (Mann-Filter),10,63.22,632.2
CMD-0001029,2023-01-12,Garage Les Experts,4675.26,AIR-29498,Filtre à huile (Mann-Filter),6,15.25,91.5
CMD-0001029,2023-01-12,Garage Les Experts,4675.26,SUS-31353,Bras oscillant inférieur (Monroe),6,121.77,730.62
CMD-0001030,2023-10-12,Pièces Auto Dépôt,1494.92,SUS-27898,Bras oscillant inférieur (Monroe),7,213.56,1494.92
CMD-0001031,2023-02-04,Garage du Centre,6034.8,RAD-40735,Radiateur alu (SKF),11,163.82,1802.02
CMD-0001031,2023-02-04,Garage du Centre,6034.8,ALT-27610,Sonde Lambda amont (NGK),2,168.62,337.24
CMD-0001031,2023-02-04,Garage du Centre,6034.8,CAL-21398,Étrier reconditionné (Ferodo),3,220.88,662.64
CMD-0001031,2023-02-04,Garage du Centre,6034.8,SEN-14760,Capteur vilebrequin (NGK),9,323.9,2915.1
CMD-0001031,2023-02-04,Garage du Centre,6034.8,BEL-25104,Thermostat piloté (Continental),5,63.56,317.8
CMD-0001032,2023-12-25,Pneus & Mécanique Pro,1998.96,CAB-15420,Filtre à huile (Wix),12,11.27,135.24
CMD-0001032,2023-12-25,Pneus & Mécanique Pro,1998.96,ARM-24856,Rotule de direction (Monroe),9,207.08,1863.72
CMD-0001033,2023-06-23,Garage Royal,2240.7,AIR-30488,Filtre habitacle charbon (Purflux),2,6.93,13.86
CMD-0001033,2023-06-23,Garage Royal,2240.7,FLT-25097,Filtre carburant diesel (Bosch),5,38.13,190.65
CMD-0001033,2023-06-23,Garage Royal,2240.7,AIR-45172,Filtre à huile (Bosch),5,14.49,72.45
CMD-0001033,2023-06-23,Garage Royal,2240.7,RAD-16815,Courroie accessoire (Continental),6,327.29,1963.74
CMD-0001034,2023-07-20,Mécanique Rapide Inc.,4352.05,ROT-37354,Disque ventilé (Bosch),11,202.46,2227.06
CMD-0001034,2023-07-20,Mécanique Rapide Inc.,4352.05,ROT-18440,Plaquettes AV (Brembo),1,73.95,73.95
CMD-0001034,2023-07-20,Mécanique Rapide Inc.,4352.05,ARM-46725,Bras oscillant inférieur (Moog),3,296.58,889.74
CMD-0001034,2023-07-20,Mécanique Rapide Inc.,4352.05,ARM-08913,Amortisseur bitube (KYB),3,140.05,420.15
CMD-0001034,2023-07-20,Mécanique Rapide Inc.,4352.05,BEL-21592,Kit distribution + pompe (Continental),5,148.23,741.15
CMD-0001035,2023-02-28,Mécanique Rapide Inc.,6094.47,SUS-26360,Rotule de direction (Bilstein),8,39.06,312.48
CMD-0001035,2023-02-28,Mécanique Rapide Inc.,6094.47,BRK-36755,Disque ventilé (Bosch),8,250.86,2006.88
CMD-0001035,2023-02-28,Mécanique Rapide Inc.,6094.47,BRK-06137,Plaquettes AR (Bosch),1,204.29,204.29
CMD-0001035,2023-02-28,Mécanique Rapide Inc.,6094.47,ROT-23807,Plaquettes AV (Bosch),2,201.01,402.02
CMD-0001035,2023-02-28,Mécanique Rapide Inc.,6094.47,ARM-05673,Amortisseur bitube (Bilstein),10,316.88,3168.8
CMD-0001036,2023-10-28,Garage du Centre,1748.7,ALT-03793,Capteur vilebrequin (Valeo),10,147.25,1472.5
CMD-0001036,2023-10-28,Garage du Centre,1748.7,ALT-03321,Sonde Lambda amont (NGK),5,55.24,276.2
CMD-0001037,2023-11-14,Garage Les Experts,255.54,BEL-43265,Courroie accessoire (Gates),2,127.77,255.54
CMD-0001038,2023-11-10,Auto Clinic,2439.0,ALT-24293,Bobine d'allumage (NGK),1,38.78,38.78
CMD-0001038,2023-11-10,Auto Clinic,2439.0,STR-17560,Démarreur 1.8kW (Delphi),8,172.72,1381.76
CMD-0001038,2023-11-10,Auto Clinic,2439.0,WAT-18351,Kit distribution + pompe (Valeo),3,320.42,961.26
CMD-0001038,2023-11-10,Auto Clinic,2439.0,CAB-34694,Filtre à huile (Purflux),4,14.3,57.2
CMD-0001039,2023-04-05,Concessionnaire XYZ,3428.65,CAB-08517,Filtre à huile (Bosch),10,7.23,72.3
CMD-0001039,2023-04-05,Concessionnaire XYZ,3428.65,STR-28783,Ressort hélicoïdal (KYB),5,117.87,589.35
CMD-0001039,2023-04-05,Concessionnaire XYZ,3428.65,ROT-21380,Plaquettes AV (Bosch),1,184.34,184.34
CMD-0001039,2023-04-05,Concessionnaire XYZ,3428.65,STR-35940,Rotule de direction (Monroe),5,68.17,340.85
CMD-0001039,2023-04-05,Concessionnaire XYZ,3428.65,AIR-41988,Filtre carburant diesel (Mann-Filter),10,30.68,306.8
CMD-0001039,2023-04-05,Concessionnaire XYZ,3428.65,ALT-41503,Capteur vilebrequin (Delphi),7,276.43,1935.01
CMD-0001040,2023-09-25,Concessionnaire XYZ,3540.9,SEN-42007,Démarreur 1.8kW (Bosch),2,307.79,615.58
CMD-0001040,2023-09-25,Concessionnaire XYZ,3540.9,CAB-29125,Filtre à air (Purflux),6,8.22,49.32
CMD-0001040,2023-09-25,Concessionnaire XYZ,3540.9,CAB-05994,Filtre à huile (Mahle),12,26.32,315.84
CMD-0001040,2023-09-25,Concessionnaire XYZ,3540.9,BEL-07127,Courroie accessoire (Nissens),11,73.18,804.98
CMD-0001040,2023-09-25,Concessionnaire XYZ,3540.9,CAL-20880,Disque ventilé (Brembo),10,122.83,1228.3
CMD-0001040,2023-09-25,Concessionnaire XYZ,3540.9,SUS-27109,Ressort hélicoïdal (KYB),8,65.86,526.88
CMD-0001041,2023-05-18,Mécanique Rapide Inc.,856.73,STR-23110,Bras oscillant inférieur (Moog),1,176.78,176.78
CMD-0001041,2023-05-18,Mécanique Rapide Inc.,856.73,CAB-11996,Filtre à huile (Mann-Filter),9,11.61,104.49
CMD-0001041,2023-05-18,Mécanique Rapide Inc.,856.73,WAT-36917,Thermostat piloté (SKF),2,287.73,575.46
CMD-0001042,2023-08-26,Mécanique Rapide Inc.,1159.91,CAL-45802,Flexible de frein (Brembo),11,60.4,664.4
CMD-0001042,2023-08-26,Mécanique Rapide Inc.,1159.91,STR-44763,Bobine d'allumage (Bosch),1,495.51,495.51
CMD-0001043,2023-10-13,Moteurs & Cie,7199.17,STR-05265,Démarreur 1.8kW (Bosch),11,437.88,4816.68
CMD-0001043,2023-10-13,Moteurs & Cie,7199.17,SEN-43402,Démarreur 1.8kW (Denso),11,216.59,2382.49
CMD-0001044,2023-10-08,Auto-Réparation ABC,4866.29,CAL-14589,Étrier reconditionné (Textar),5,42.84,214.2
CMD-0001044,2023-10-08,Auto-Réparation ABC,4866.29,FLT-24322,Filtre habitacle charbon (Bosch),6,60.4,362.4
CMD-0001044,2023-10-08,Auto-Réparation ABC,4866.29,BEL-12353,Radiateur alu (Continental),8,145.78,1166.24
CMD-0001044,2023-10-08,Auto-Réparation ABC,4866.29,SUS-29871,Bras oscillant inférieur (KYB),6,135.66,813.96
CMD-0001044,2023-10-08,Auto-Réparation ABC,4866.29,BEL-45999,Courroie accessoire (Valeo),9,256.61,2309.49
CMD-0001045,2023-08-04,Pneus & Mécanique Pro,5484.7,RAD-42710,Kit distribution + pompe (Valeo),4,285.35,1141.4
CMD-0001045,2023-08-04,Pneus & Mécanique Pro,5484.7,ARM-36759,Amortisseur bitube (Bilstein),7,301.23,2108.61
CMD-0001045,2023-08-04,Pneus & Mécanique Pro,5484.7,RAD-37663,Courroie accessoire (Valeo),1,211.81,211.81
CMD-0001045,2023-08-04,Pneus & Mécanique Pro,5484.7,WAT-34454,Kit distribution + pompe (Gates),8,22.32,178.56
CMD-0001045,2023-08-04,Pneus & Mécanique Pro,5484.7,STR-00734,Ressort hélicoïdal (Monroe),4,176.98,707.92
CMD-0001045,2023-08-04,Pneus & Mécanique Pro,5484.7,BRK-01703,Disque ventilé (Textar),5,227.28,1136.4
CMD-0001046,2023-07-22,Garage Tremblay,4099.02,BEL-35998,Courroie accessoire (Nissens),4,87.5,350.0
CMD-0001046,2023-07-22,Garage Tremblay,4099.02,FLT-05068,Filtre à huile (Wix),2,55.63,111.26
CMD-0001046,2023-07-22,Garage Tremblay,4099.02,WAT-05185,Courroie accessoire (Valeo),12,267.55,3210.6
CMD-0001046,2023-07-22,Garage Tremblay,4099.02,ARM-01753,Amortisseur bitube (Bilstein),3,134.05,402.15
CMD-0001046,2023-07-22,Garage Tremblay,4099.02,AIR-11982,Filtre habitacle charbon (Wix),1,25.01,25.01
CMD-0001047,2023-12-27,Pneus & Mécanique Pro,5009.17,BRK-43829,Flexible de frein (TRW),9,180.01,1620.09
CMD-0001047,2023-12-27,Pneus & Mécanique Pro,5009.17,FLT-40195,Filtre habitacle charbon (Mann-Filter),2,15.48,30.96
CMD-0001047,2023-12-27,Pneus & Mécanique Pro,5009.17,WAT-09083,Radiateur alu (Continental),12,123.72,1484.64
CMD-0001047,2023-12-27,Pneus & Mécanique Pro,5009.17,STR-48620,Ressort hélicoïdal (Moog),4,285.49,1141.96
CMD-0001047,2023-12-27,Pneus & Mécanique Pro,5009.17,ROT-41711,Disque ventilé (Textar),6,121.92,731.52
CMD-0001048,2023-05-31,Garage Tremblay,1387.8,SEN-04531,Sonde Lambda amont (NGK),10,123.08,1230.8
CMD-0001048,2023-05-31,Garage Tremblay,1387.8,SEN-39745,Bobine d'allumage (NGK),2,78.5,157.0
CMD-0001049,2023-06-18,Auto Clinic,1625.6,BRK-21206,Flexible de frein (TRW),4,103.24,412.96
CMD-0001049,2023-06-18,Auto Clinic,1625.6,STR-04673,Rotule de direction (Monroe),5,56.99,284.95
CMD-0001049,2023-06-18,Auto Clinic,1625.6,CAL-07535,Plaquettes AR (Bosch),1,183.77,183.77
CMD-0001049,2023-06-18,Auto Clinic,1625.6,STR-28445,Capteur vilebrequin (Valeo),3,207.82,623.46
CMD-0001049,2023-06-18,Auto Clinic,1625.6,ARM-40399,Bras oscillant inférieur (Monroe),2,60.23,120.46
CMD-0001050,2023-09-20,Services Automobiles Express,2516.8,SUS-04851,Rotule de direction (Sachs),8,314.6,2516.8
CMD-0001051,2023-07-31,Centre Auto Plus,2515.7,BRK-19530,Flexible de frein (TRW),2,206.1,412.2
CMD-0001051,2023-07-31,Centre Auto Plus,2515.7,CAB-15420,Filtre à huile (Wix),9,11.27,101.43
CMD-0001051,2023-07-31,Centre Auto Plus,2515.7,SUS-40595,Rotule de direction (Moog),9,67.03,603.27
CMD-0001051,2023-07-31,Centre Auto Plus,2515.7,STR-21395,Rotule de direction (KYB),8,174.85,1398.8
CMD-0001052,2023-02-04,Services Automobiles Express,3678.67,ARM-26734,Rotule de direction (KYB),5,317.43,1587.15
CMD-0001052,2023-02-04,Services Automobiles Express,3678.67,ALT-30842,Démarreur 1.8kW (Valeo),2,315.31,630.62
CMD-0001052,2023-02-04,Services Automobiles Express,3678.67,SEN-38755,Démarreur 1.8kW (Delphi),10,146.09,1460.9
CMD-0001053,2023-08-05,Centre Auto Plus,7007.34,ROT-43100,Étrier reconditionné (TRW),10,139.64,1396.4
CMD-0001053,2023-08-05,Centre Auto Plus,7007.34,SUS-25015,Amortisseur bitube (KYB),8,151.85,1214.8
CMD-0001053,2023-08-05,Centre Auto Plus,7007.34,BEL-12375,Radiateur alu (Continental),12,172.85,2074.2
CMD-0001053,2023-08-05,Centre Auto Plus,7007.34,ALT-06521,Démarreur 1.8kW (Bosch),1,153.48,153.48
CMD-0001053,2023-08-05,Centre Auto Plus,7007.34,CAL-02802,Plaquettes AV (Bosch),1,117.76,117.76
CMD-0001053,2023-08-05,Centre Auto Plus,7007.34,BRK-18400,Flexible de frein (Brembo),10,205.07,2050.7
CMD-0001054,2023-11-10,Centre Auto Plus,7506.29,SUS-13521,Ressort hélicoïdal (Bilstein),8,287.28,2298.24
CMD-0001054,2023-11-10,Centre Auto Plus,7506.29,CAB-31278,Filtre à air (Bosch),11,30.22,332.42
CMD-0001054,2023-11-10,Centre Auto Plus,7506.29,STR-49064,Amortisseur bitube (Bilstein),1,242.15,242.15
CMD-0001054,2023-11-10,Centre Auto Plus,7506.29,ARM-30143,Bras oscillant inférieur (KYB),8,152.09,1216.72
CMD-0001054,2023-11-10,Centre Auto Plus,7506.29,ARM-03803,Ressort hélicoïdal (Moog),12,284.73,3416.76
CMD-0001055,2023-05-19,Mécanique Rapide Inc.,6736.57,RAD-04066,Courroie accessoire (Continental),9,301.82,2716.38
CMD-0001055,2023-05-19,Mécanique Rapide Inc.,6736.57,SUS-17413,Ressort hélicoïdal (KYB),5,165.5,827.5
CMD-0001055,2023-05-19,Mécanique Rapide Inc.,6736.57,RAD-40004,Courroie accessoire (Continental),12,150.58,1806.96
CMD-0001055,2023-05-19,Mécanique Rapide Inc.,6736.57,BRK-12977,Disque ventilé (Ferodo),3,76.77,230.31
CMD-0001055,2023-05-19,Mécanique Rapide Inc.,6736.57,FLT-18455,Filtre à air (Wix),9,27.09,243.81
CMD-0001055,2023-05-19,Mécanique Rapide Inc.,6736.57,CAL-33732,Plaquettes AV (Bosch),9,101.29,911.61
CMD-0001056,2023-02-08,Garage Tremblay,297.0,CAB-26396,Filtre carburant diesel (Mahle),6,49.5,297.0
CMD-0001057,2023-01-15,Atelier Mécanique 360,2929.74,STR-12810,Ressort hélicoïdal (Sachs),11,266.34,2929.74
CMD-0001058,2023-04-11,Auto Clinic,1474.13,STR-27334,Ressort hélicoïdal (KYB),5,192.18,960.9
CMD-0001058,2023-04-11,Auto Clinic,1474.13,BRK-23412,Étrier reconditionné (Brembo),4,90.79,363.16
CMD-0001058,2023-04-11,Auto Clinic,1474.13,ROT-07105,Flexible de frein (TRW),1,150.07,150.07
CMD-0001059,2023-05-17,Moteurs & Cie,8717.0,RAD-49744,Radiateur alu (Continental),11,385.7,4242.7
CMD-0001059,2023-05-17,Moteurs & Cie,8717.0,STR-46537,Ressort hélicoïdal (Monroe),12,38.07,456.84
CMD-0001059,2023-05-17,Moteurs & Cie,8717.0,WAT-48514,Courroie accessoire (Valeo),11,256.02,2816.22
CMD-0001059,2023-05-17,Moteurs & Cie,8717.0,ROT-06964,Disque ventilé (Textar),5,36.38,181.9
CMD-0001059,2023-05-17,Moteurs & Cie,8717.0,SUS-02251,Rotule de direction (Moog),9,113.26,1019.34
CMD-0001060,2023-10-20,Moteurs & Cie,3283.32,CAB-20245,Filtre à huile (Bosch),11,9.05,99.55
CMD-0001060,2023-10-20,Moteurs & Cie,3283.32,STR-10647,Amortisseur bitube (Sachs),9,106.09,954.81
CMD-0001060,2023-10-20,Moteurs & Cie,3283.32,STR-19391,Sonde Lambda amont (Delphi),11,32.38,356.18
CMD-0001060,2023-10-20,Moteurs & Cie,3283.32,BRK-22624,Plaquettes AV (Brembo),12,134.62,1615.44
CMD-0001060,2023-10-20,Moteurs & Cie,3283.32,FLT-27343,Filtre à air (Bosch),6,42.89,257.34
CMD-0001061,2023-07-08,Pièces Auto Dépôt,5328.0,STR-09045,Sonde Lambda amont (Delphi),6,464.17,2785.02
CMD-0001061,2023-07-08,Pièces Auto Dépôt,5328.0,BRK-12029,Plaquettes AV (Bosch),4,137.01,548.04
CMD-0001061,2023-07-08,Pièces Auto Dépôt,5328.0,AIR-31426,Filtre carburant diesel (Mahle),3,34.7,104.1
CMD-0001061,2023-07-08,Pièces Auto Dépôt,5328.0,SEN-49874,Alternateur 140A (Bosch),12,157.57,1890.84
CMD-0001062,2023-06-14,Auto-Réparation ABC,6669.53,ALT-05511,Capteur vilebrequin (Delphi),4,101.53,406.12
CMD-0001062,2023-06-14,Auto-Réparation ABC,6669.53,ALT-15093,Démarreur 1.8kW (Delphi),11,475.34,5228.74
CMD-0001062,2023-06-14,Auto-Réparation ABC,6669.53,WAT-49716,Radiateur alu (SKF),3,344.89,1034.67
CMD-0001063,2023-12-12,Services Automobiles Express,805.86,BEL-17317,Thermostat piloté (SKF),6,134.31,805.86
CMD-0001064,2023-01-04,Pneus & Mécanique Pro,457.16,BRK-13400,Disque ventilé (Textar),1,70.16,70.16
CMD-0001064,2023-01-04,Pneus & Mécanique Pro,457.16,CAL-15428,Flexible de frein (TRW),5,77.4,387.0
CMD-0001065,2023-05-24,Auto Clinic,2615.31,AIR-26060,Filtre à air (Mann-Filter),12,29.56,354.72
CMD-0001065,2023-05-24,Auto Clinic,2615.31,AIR-12056,Filtre à huile (Purflux),8,26.78,214.24
