code_barre_128,sku,classe_produit,designation,emplacement_id,prix_achat_cad,prix_importation_cad,prix_transport_cad,cout_de_revient_total,longueur_cm,largeur_cm,hauteur_cm,poids_kg,classe_abc
C1285710636835,ROT-015341,ROT - Moyenne Standard A1,Disque de frein ventilé,A1b-24-c-07,73.33,4.02,22.24,99.59,33.8,35.5,6.9,8.72,A
C1285205675394,ROT-015342,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-02-b-11,72.96,2.57,26.15,101.68,32.5,27.1,6.9,10.9,C
C1281094132639,EXH-015343,EXH - Grande Piece A3 A1p,Silencieux échappement,A3-L21-H1-S12,130.30,8.06,32.17,170.53,88.2,37.7,30.0,13.1,C
C1284539659697,ROT-015344,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-06-c-10,69.26,3.08,31.24,103.58,27.4,33.0,6.1,13.51,C
C1283434411248,BLB-015345,BLB - Petite Piece A2,Ampoule LED H7,A2-C13-T12-B,15.16,0.87,2.88,18.91,9.4,5.1,5.7,0.06,A
C1281655923458,EXH-015346,EXH - Grande Piece A3 A1p,Silencieux échappement,A3-L13-H4-S14,186.27,10.25,24.44,220.96,137.1,34.6,24.6,8.06,B
C1283428336100,BRK-015347,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-25-a-07,34.00,2.19,8.67,44.86,17.8,15.8,9.9,1.97,A
C1288810562169,SEN-015348,SEN - Petite Piece A2,Capteur ABS,A2-C08-T11-C,33.97,1.66,5.32,40.95,12.0,4.3,5.2,0.13,B
C1289367452718,ALT-015349,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-27-a-06,165.26,8.87,21.41,195.54,22.2,24.7,21.6,6.09,B
C1286838994897,FLT-015350,FLT - Moyenne Standard A1,Filtre à air moteur,A1b-28-b-11,14.35,0.71,4.03,19.09,34.0,14.8,5.4,0.35,A
C1286744306921,BLB-015351,BLB - Petite Piece A2,Ampoule LED H7,A2-C14-T13-D,12.53,0.73,2.57,15.83,8.4,4.1,5.5,0.06,C
C1289439942247,ALT-015352,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1b-01-b-04,208.46,10.33,25.44,244.23,25.9,22.8,18.2,8.67,B
C1285995664871,BRK-015353,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-08-a-03,60.62,2.85,10.63,74.10,18.7,17.9,6.1,3.67,B
C1281775065318,ROT-015354,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-40-b-03,73.03,4.22,22.17,99.42,35.6,28.4,5.2,8.27,C
C1289430758561,EXH-015355,EXH - Grande Piece A3 A1p,Silencieux échappement,A1p-07-07-H4,185.17,8.91,30.99,225.07,83.1,40.8,28.3,11.22,C
C1285500913596,SPK-015356,SPK - Petite Piece A2,Bougie allumage iridium,A2-C18-T01-H,5.56,0.29,3.87,9.72,11.3,2.8,2.9,0.1,B
C1289764877521,SEN-015357,SEN - Petite Piece A2,Capteur ABS,A2-C17-T14-E,24.23,1.13,5.03,30.39,14.2,6.5,5.0,0.34,C
C1285137358880,ROT-015358,ROT - Moyenne Standard A1,Disque de frein ventilé,A1c-32-a-02,104.14,6.00,16.96,127.10,29.1,32.6,5.0,6.24,C
C1282419300878,EXH-015359,EXH - Grande Piece A3 A1p,Silencieux échappement,A3-L03-H1-S13,212.51,11.96,29.01,253.48,127.9,29.0,29.7,9.97,C
C1282931984360,BRK-015360,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-14-c-09,46.71,2.68,9.85,59.24,19.1,12.3,7.0,2.86,B
C1284473778604,ROT-015361,ROT - Moyenne Standard A1,Disque de frein ventilé,A1b-23-b-01,46.06,1.70,20.76,68.52,32.3,28.7,6.1,8.64,C
C1281904996030,BRK-015362,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-17-b-05,49.51,2.27,9.42,61.20,23.0,12.6,9.8,2.52,B
C1282945549284,RAD-015363,RAD - Grande Piece A3 A1p,Radiateur refroidissement,A3-L18-H5-S14,75.78,3.04,15.74,94.56,73.7,51.6,11.9,5.45,C
C1286455129959,ALT-015364,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-16-c-07,225.39,9.17,28.74,263.30,22.2,18.1,24.8,8.96,B
C1288879494983,FLT-015365,FLT - Moyenne Standard A1,Filtre à air moteur,A1b-01-a-10,11.28,0.68,3.03,14.99,29.7,17.6,6.4,0.35,C
C1283458483543,FLT-015366,FLT - Moyenne Standard A1,Filtre à air moteur,A1c-34-c-09,6.22,0.24,4.82,11.28,21.8,17.2,7.7,0.57,B
C1284975252221,BRK-015367,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-09-b-01,40.18,2.11,9.04,51.33,21.7,12.4,8.1,2.96,C
C1285841422087,FUS-015368,FUS - Petite Piece A2,Boîte fusibles relais,A2-C17-T15-H,4.48,0.29,4.18,8.95,9.0,4.2,2.0,0.11,A
C1289574204657,BLB-015369,BLB - Petite Piece A2,Ampoule LED H7,A2-C17-T08-G,22.95,1.39,2.80,27.14,7.6,4.2,6.0,0.05,B
C1288128674283,RAD-015370,RAD - Grande Piece A3 A1p,Radiateur refroidissement,A3-L19-H4-S08,193.94,8.44,20.01,222.39,62.3,45.9,7.7,5.05,B
C1286362315906,FUS-015371,FUS - Petite Piece A2,Boîte fusibles relais,A2-C09-T13-E,4.30,0.18,3.35,7.83,5.1,7.5,4.6,0.09,A
C1282835610591,ROT-015372,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-39-c-09,49.48,2.56,23.68,75.72,33.7,29.0,6.8,11.04,C
C1285105336389,BRK-015373,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1a-33-b-04,38.19,1.55,6.73,46.47,20.3,11.7,9.1,2.02,C
C1285437349713,SPK-015374,SPK - Petite Piece A2,Bougie allumage iridium,A2-C09-T03-E,10.95,0.46,3.20,14.61,13.6,3.0,2.4,0.1,B
C1287503340030,BRK-015375,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1a-34-a-07,43.24,1.89,8.25,53.38,24.1,16.3,7.0,1.85,C
C1284635103141,BRK-015376,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-35-b-05,46.07,2.82,8.37,57.26,16.6,10.3,5.9,2.65,C
C1281071138981,STR-015377,STR - Grande Piece A3 A1p,Jambe de force suspension,A3-L14-H2-S01,95.30,4.36,18.10,117.76,83.3,16.5,18.2,6.43,B
C1288384146053,FLT-015378,FLT - Moyenne Standard A1,Filtre à air moteur,A1a-33-c-01,11.47,0.69,3.86,16.02,30.7,21.6,6.4,0.29,C
C1288250923967,ALT-015379,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-26-b-12,190.51,8.53,23.68,222.72,23.0,20.8,22.9,7.86,A
C1285976287960,BMP-015380,BMP - Grande Piece A3 A1p,Pare-chocs AV primaire,A3-L08-H3-S06,300.44,16.40,29.95,346.79,188.1,64.9,37.1,8.85,C
C1283235555786,BRK-015381,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1a-09-c-05,38.22,2.38,10.33,50.93,17.6,15.8,6.8,2.99,C
C1286508654174,BLB-015382,BLB - Petite Piece A2,Ampoule LED H7,A2-C03-T08-C,16.93,0.65,4.55,22.13,6.9,4.7,4.5,0.12,B
C1287187485357,ROT-015383,ROT - Moyenne Standard A1,Disque de frein ventilé,A1b-27-c-11,45.03,1.67,25.84,72.54,34.4,26.9,4.8,11.98,C
C1281463756977,EXH-015384,EXH - Grande Piece A3 A1p,Silencieux échappement,A3-L05-H1-S04,218.68,10.83,29.68,259.19,124.7,43.6,24.3,9.16,C
C1288537229042,ROT-015385,ROT - Moyenne Standard A1,Disque de frein ventilé,A1c-01-c-05,56.79,2.68,25.09,84.56,32.7,32.8,5.8,10.97,A
C1287973969992,STR-015386,STR - Grande Piece A3 A1p,Jambe de force suspension,A3-L16-H4-S01,104.03,5.30,18.67,128.00,80.6,16.0,16.1,7.18,C
C1282396315899,ALT-015387,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1b-38-b-04,162.57,9.50,20.92,192.99,24.7,21.1,18.2,6.1,A
C1289795367560,ROT-015388,ROT - Moyenne Standard A1,Disque de frein ventilé,A1b-32-b-07,59.90,2.24,23.21,85.35,35.7,30.2,5.3,9.39,C
C1289907888102,RAD-015389,RAD - Grande Piece A3 A1p,Radiateur refroidissement,A1p-04-13-H1,130.72,6.92,15.58,153.22,82.3,47.8,5.4,4.5,B
C1289957457991,BMP-015390,BMP - Grande Piece A3 A1p,Pare-chocs AV primaire,A3-L05-H2-S13,215.70,8.79,28.34,252.83,172.1,53.4,50.6,9.69,A
C1288294715562,ALT-015391,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1a-22-b-04,198.09,10.94,24.39,233.42,22.7,21.8,24.6,7.81,C
C1283545675918,SPK-015392,SPK - Petite Piece A2,Bougie allumage iridium,A2-C16-T08-F,8.93,0.35,2.55,11.83,13.6,3.4,3.4,0.12,B
C1286007342668,BRK-015393,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1a-31-c-08,50.85,2.43,7.86,61.14,21.5,11.1,6.4,1.93,B
C1282786284820,BRK-015394,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-24-a-03,43.20,2.33,11.26,56.79,23.9,13.2,8.6,3.58,C
C1286382848495,BRK-015395,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-13-b-09,24.89,1.19,5.64,31.72,15.9,14.2,8.9,1.58,C
C1287441402849,STR-015396,STR - Grande Piece A3 A1p,Jambe de force suspension,A1p-10-06-H2,95.85,5.43,18.89,120.17,71.2,24.6,22.5,6.23,C
C1281201840789,SPK-015397,SPK - Petite Piece A2,Bougie allumage iridium,A2-C09-T10-D,10.33,0.59,3.77,14.69,10.7,3.6,3.8,0.12,B
C1288219387418,EXH-015398,EXH - Grande Piece A3 A1p,Silencieux échappement,A1p-09-02-H1,121.52,7.51,29.56,158.59,128.0,37.6,28.7,12.71,A
C1285202863138,FLT-015399,FLT - Moyenne Standard A1,Filtre à air moteur,A1c-20-a-01,21.01,1.28,5.50,27.79,33.9,23.1,4.0,0.54,A
C1282754210449,EXH-015400,EXH - Grande Piece A3 A1p,Silencieux échappement,A1p-03-08-H2,100.38,5.85,33.04,139.27,90.0,42.3,22.0,13.97,A
C1282713760596,SEN-015401,SEN - Petite Piece A2,Capteur ABS,A2-C15-T15-G,43.29,1.98,5.23,50.50,13.9,5.5,4.4,0.38,C
C1287667102689,ROT-015402,ROT - Moyenne Standard A1,Disque de frein ventilé,A1b-23-b-02,73.73,3.05,23.58,100.36,31.6,29.3,5.2,9.78,B
C1281539321152,ROT-015403,ROT - Moyenne Standard A1,Disque de frein ventilé,A1c-09-b-12,45.05,2.27,27.08,74.40,29.5,32.3,6.1,12.21,A
C1289596853188,BMP-015404,BMP - Grande Piece A3 A1p,Pare-chocs AV primaire,A3-L15-H3-S01,217.77,11.98,32.40,262.15,179.3,52.2,36.3,11.98,C
C1283201574040,STR-015405,STR - Grande Piece A3 A1p,Jambe de force suspension,A3-L16-H2-S04,91.49,5.11,23.48,120.08,73.1,23.2,15.5,8.73,C
C1282123696224,SPK-015406,SPK - Petite Piece A2,Bougie allumage iridium,A2-C10-T13-C,9.58,0.44,2.25,12.27,13.4,3.7,4.0,0.12,B
C1286072777167,RAD-015407,RAD - Grande Piece A3 A1p,Radiateur refroidissement,A3-L06-H5-S12,169.00,10.16,25.02,204.18,50.8,52.9,5.6,7.75,B
C1281169790496,ALT-015408,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-13-a-07,191.61,9.23,23.98,224.82,28.4,23.6,18.3,8.02,C
C1284992552480,ALT-015409,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1a-26-c-04,208.48,11.24,22.34,242.06,26.1,19.4,19.4,6.03,A
C1289195983950,ROT-015410,ROT - Moyenne Standard A1,Disque de frein ventilé,A1b-05-c-11,109.01,4.75,17.63,131.39,28.5,30.0,4.6,6.48,B
C1283659807541,FLT-015411,FLT - Moyenne Standard A1,Filtre à air moteur,A1a-23-a-07,13.94,0.80,2.79,17.53,30.2,14.7,4.3,0.54,C
C1284122703677,ROT-015412,ROT - Moyenne Standard A1,Disque de frein ventilé,A1b-05-c-01,102.09,3.58,28.37,134.04,27.0,31.1,4.9,11.93,B
C1286413824520,SPK-015413,SPK - Petite Piece A2,Bougie allumage iridium,A2-C07-T12-C,11.29,0.55,2.21,14.05,11.5,3.2,2.3,0.11,C
C1289327091748,STR-015414,STR - Grande Piece A3 A1p,Jambe de force suspension,A3-L23-H2-S07,149.57,5.64,24.44,179.65,79.5,19.5,21.4,8.69,C
C1285956886806,ALT-015415,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1b-01-c-08,259.96,10.48,26.73,297.17,27.5,19.1,23.5,6.72,A
C1283336014001,STR-015416,STR - Grande Piece A3 A1p,Jambe de force suspension,A3-L09-H1-S15,116.52,7.54,19.17,143.23,84.1,24.3,21.6,6.13,C
C1285492913160,FLT-015417,FLT - Moyenne Standard A1,Filtre à air moteur,A1b-31-a-08,20.89,0.76,5.02,26.67,25.4,24.4,7.9,0.54,C
C1282506405048,FLT-015418,FLT - Moyenne Standard A1,Filtre à air moteur,A1a-27-a-02,17.38,0.94,5.54,23.86,35.0,21.0,5.7,0.53,C
C1286386765493,ROT-015419,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-08-c-07,61.80,3.79,20.80,86.39,33.5,26.6,6.5,7.99,C
C1289296849639,BRK-015420,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-28-b-08,41.56,2.68,8.59,52.83,21.8,12.5,7.9,3.11,C
C1286353468336,BLB-015421,BLB - Petite Piece A2,Ampoule LED H7,A2-C04-T11-F,9.32,0.37,2.60,12.29,7.3,5.9,5.9,0.1,A
C1289068353240,FLT-015422,FLT - Moyenne Standard A1,Filtre à air moteur,A1c-35-c-02,9.24,0.51,3.96,13.71,25.8,16.1,7.0,0.54,C
C1289529864822,BRK-015423,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-37-c-03,51.22,2.94,10.92,65.08,16.7,14.0,6.0,3.27,B
C1284423120266,ROT-015424,ROT - Moyenne Standard A1,Disque de frein ventilé,A1b-29-b-11,101.13,6.46,27.78,135.37,29.2,33.9,6.8,10.97,C
C1287470482719,ROT-015425,ROT - Moyenne Standard A1,Disque de frein ventilé,A1b-27-b-12,101.91,6.48,26.13,134.52,28.3,34.5,6.3,10.56,C
C1285816889545,EXH-015426,EXH - Grande Piece A3 A1p,Silencieux échappement,A3-L14-H1-S16,125.00,5.75,31.33,162.08,103.9,38.9,29.5,12.63,B
C1283541932387,FLT-015427,FLT - Moyenne Standard A1,Filtre à air moteur,A1b-38-a-08,8.47,0.30,2.60,11.37,34.7,23.8,5.5,0.28,C
C1283040743411,SEN-015428,SEN - Petite Piece A2,Capteur ABS,A2-C20-T02-F,28.52,1.36,3.49,33.37,13.9,5.2,5.5,0.14,C
C1282498030416,ALT-015429,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-17-b-10,147.54,7.66,24.67,179.87,27.3,22.4,23.4,8.1,C
C1281399046005,ALT-015430,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1b-35-a-12,156.51,8.64,20.82,185.97,24.4,18.4,20.3,6.87,C
C1283299642744,ROT-015431,ROT - Moyenne Standard A1,Disque de frein ventilé,A1c-17-c-02,74.98,2.79,23.96,101.73,29.1,31.0,5.3,9.98,B
C1286002880714,ALT-015432,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-31-b-06,177.14,9.52,20.21,206.87,20.3,21.7,18.4,5.72,B
C1282962750356,FUS-015433,FUS - Petite Piece A2,Boîte fusibles relais,A2-C15-T15-F,6.35,0.34,3.34,10.03,12.0,3.4,4.5,0.05,C
C1283918496202,BRK-015434,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1a-38-b-11,56.57,2.41,11.46,70.44,17.6,17.7,9.2,3.07,B
C1283411132698,FUS-015435,FUS - Petite Piece A2,Boîte fusibles relais,A2-C10-T06-G,6.68,0.30,2.05,9.03,9.5,5.8,2.9,0.11,A
C1284954643715,BRK-015436,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1a-17-c-01,34.08,1.43,6.26,41.77,23.2,15.3,6.9,1.76,B
C1281761382841,ROT-015437,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-07-c-07,90.42,3.28,20.21,113.91,32.9,34.8,4.6,7.67,A
C1284137269270,FLT-015438,FLT - Moyenne Standard A1,Filtre à air moteur,A1a-15-c-09,20.70,1.01,4.55,26.26,27.9,22.2,4.4,0.54,A
C1283074370593,FUS-015439,FUS - Petite Piece A2,Boîte fusibles relais,A2-C14-T02-E,10.58,0.67,2.43,13.68,9.6,3.0,4.0,0.15,A
C1286985002631,SEN-015440,SEN - Petite Piece A2,Capteur ABS,A2-C07-T12-D,28.40,1.73,4.01,34.14,14.9,6.2,5.0,0.22,A
C1289149685681,ROT-015441,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-40-c-09,76.36,3.54,18.87,98.77,30.1,30.7,5.2,7.01,B
C1282955026042,FLT-015442,FLT - Moyenne Standard A1,Filtre à air moteur,A1a-10-c-06,10.13,0.37,4.38,14.88,28.5,17.5,5.4,0.48,C
C1284620658562,BRK-015443,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-32-b-07,34.20,1.49,6.15,41.84,20.5,11.0,7.0,1.57,B
C1286805885891,SPK-015444,SPK - Petite Piece A2,Bougie allumage iridium,A2-C13-T10-G,6.95,0.42,3.34,10.71,12.0,2.2,2.4,0.14,C
C1288815277092,ALT-015445,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1b-20-b-09,150.96,5.67,23.51,180.14,21.2,24.4,22.9,8.54,A
C1281989749065,BLB-015446,BLB - Petite Piece A2,Ampoule LED H7,A2-C06-T08-D,22.42,1.41,2.32,26.15,8.2,5.6,5.0,0.07,B
C1287088698805,BLB-015447,BLB - Petite Piece A2,Ampoule LED H7,A2-C10-T07-F,22.29,1.11,2.49,25.89,8.7,4.3,5.5,0.11,C
C1282932713171,SEN-015448,SEN - Petite Piece A2,Capteur ABS,A2-C15-T04-D,23.60,1.36,3.67,28.63,9.6,5.8,5.1,0.29,C
C1288949273654,FUS-015449,FUS - Petite Piece A2,Boîte fusibles relais,A2-C15-T08-C,8.75,0.37,1.96,11.08,7.0,6.8,3.3,0.19,B
C1283309680440,BRK-015450,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-27-c-07,43.27,2.01,9.57,54.85,20.8,16.1,7.0,3.61,B
C1283935369390,EXH-015451,EXH - Grande Piece A3 A1p,Silencieux échappement,A1p-03-07-H1,165.91,6.08,43.26,215.25,114.7,30.0,21.0,17.97,C
C1284083100162,SPK-015452,SPK - Petite Piece A2,Bougie allumage iridium,A2-C02-T09-D,14.08,0.61,4.33,19.02,11.0,3.2,3.8,0.11,C
C1281854510096,ALT-015453,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1b-17-c-11,197.66,10.79,22.62,231.07,24.0,20.7,20.7,7.13,C
C1281945352782,BLB-015454,BLB - Petite Piece A2,Ampoule LED H7,A2-C16-T13-D,15.07,0.78,3.69,19.54,8.6,4.9,4.5,0.05,C
C1281065847143,ALT-015455,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1a-07-c-10,214.68,12.91,26.75,254.34,20.8,18.1,24.0,8.72,B
C1287510412664,ALT-015456,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-03-a-01,138.86,7.61,22.37,168.84,20.6,23.7,21.8,8.16,C
C1282217967247,BRK-015457,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-17-c-02,62.44,2.62,10.07,75.13,21.8,15.9,7.0,2.45,C
C1289713737422,ALT-015458,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-28-c-09,151.97,7.74,23.16,182.87,25.6,22.0,21.3,8.06,B
C1288328425361,BRK-015459,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-17-b-05,25.50,1.54,7.51,34.55,16.9,14.5,9.3,2.68,B
C1289748666012,BLB-015460,BLB - Petite Piece A2,Ampoule LED H7,A2-C04-T02-A,9.85,0.51,3.02,13.38,9.6,4.6,5.8,0.05,B
C1285374157344,FUS-015461,FUS - Petite Piece A2,Boîte fusibles relais,A2-C10-T11-C,6.76,0.37,2.95,10.08,6.3,5.0,3.0,0.06,C
C1289070143455,BRK-015462,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-33-c-10,56.04,2.83,6.67,65.54,21.4,16.8,8.3,1.75,A
C1289764109159,FLT-015463,FLT - Moyenne Standard A1,Filtre à air moteur,A1c-03-b-11,15.28,0.72,4.25,20.25,37.4,24.9,6.8,0.4,A
C1288457136178,RAD-015464,RAD - Grande Piece A3 A1p,Radiateur refroidissement,A3-L14-H5-S14,160.66,5.93,14.73,181.32,69.3,58.5,9.3,3.8,B
C1281697975414,SEN-015465,SEN - Petite Piece A2,Capteur ABS,A2-C16-T11-H,23.91,1.24,5.08,30.23,14.2,4.1,3.1,0.14,A
C1281479139656,BRK-015466,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-04-a-09,56.29,1.99,9.21,67.49,22.4,17.5,6.6,2.79,A
C1285926690571,ROT-015467,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-39-a-09,98.54,5.41,21.98,125.93,34.3,30.4,5.2,7.95,B
C1283979907516,EXH-015468,EXH - Grande Piece A3 A1p,Silencieux échappement,A3-L17-H2-S16,136.93,5.55,35.46,177.94,96.1,41.8,19.2,15.11,B
C1286445579278,ALT-015469,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1a-11-b-01,150.25,7.80,24.45,182.50,27.2,21.3,21.1,8.39,C
C1285062856015,BLB-015470,BLB - Petite Piece A2,Ampoule LED H7,A2-C10-T03-G,17.91,1.09,4.03,23.03,7.6,4.5,5.4,0.05,B
C1285993373873,RAD-015471,RAD - Grande Piece A3 A1p,Radiateur refroidissement,A3-L19-H4-S04,66.37,2.82,17.73,86.92,62.3,62.0,5.1,7.49,B
C1289994903507,BLB-015472,BLB - Petite Piece A2,Ampoule LED H7,A2-C17-T15-H,21.89,1.39,4.89,28.17,7.9,5.3,5.3,0.06,B
C1281532275366,FLT-015473,FLT - Moyenne Standard A1,Filtre à air moteur,A1a-34-c-05,10.48,0.42,3.67,14.57,31.0,15.4,5.5,0.51,C
C1282737576935,BMP-015474,BMP - Grande Piece A3 A1p,Pare-chocs AV primaire,A3-L16-H1-S12,245.84,13.20,31.93,290.97,171.7,54.5,54.0,10.63,C
C1282591438350,SPK-015475,SPK - Petite Piece A2,Bougie allumage iridium,A2-C15-T03-E,6.47,0.32,3.91,10.70,13.6,2.4,3.8,0.12,C
C1283057886333,FUS-015476,FUS - Petite Piece A2,Boîte fusibles relais,A2-C12-T13-C,11.95,0.67,2.65,15.27,5.6,6.1,3.1,0.06,C
C1288660623063,BMP-015477,BMP - Grande Piece A3 A1p,Pare-chocs AV primaire,A3-L18-H5-S13,149.83,7.34,22.22,179.39,161.3,59.3,41.6,7.08,C
C1289910655120,ROT-015478,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-12-c-11,84.11,5.01,16.68,105.80,31.7,31.1,5.2,6.38,C
C1282289049833,FUS-015479,FUS - Petite Piece A2,Boîte fusibles relais,A2-C11-T01-H,10.20,0.49,4.06,14.75,9.2,6.7,4.6,0.16,C
C1282229328508,BMP-015480,BMP - Grande Piece A3 A1p,Pare-chocs AV primaire,A3-L16-H5-S04,231.57,10.73,26.39,268.69,181.0,59.2,52.7,8.2,C
C1289812285961,ROT-015481,ROT - Moyenne Standard A1,Disque de frein ventilé,A1b-36-a-05,92.88,3.69,19.26,115.83,29.8,26.1,6.4,6.41,C
C1285910260954,RAD-015482,RAD - Grande Piece A3 A1p,Radiateur refroidissement,A3-L25-H3-S14,114.38,5.42,21.13,140.93,71.1,60.3,9.4,6.97,B
C1286532009268,BRK-015483,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-11-b-12,33.00,1.49,10.23,44.72,17.3,16.6,8.2,3.07,B
C1281357602312,ALT-015484,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-19-b-10,213.13,8.54,22.39,244.06,23.1,21.0,21.6,5.65,C
C1284554327884,BRK-015485,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-38-b-07,32.56,1.44,7.01,41.01,21.8,18.0,6.0,2.52,A
C1285909579314,SPK-015486,SPK - Petite Piece A2,Bougie allumage iridium,A2-C01-T09-B,13.76,0.52,2.79,17.07,10.6,2.4,2.1,0.1,B
C1289121517481,BRK-015487,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-20-c-08,33.75,2.08,7.93,43.76,18.3,12.6,5.1,2.99,B
C1289376527003,BRK-015488,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-17-a-06,25.33,1.60,8.93,35.86,22.7,15.0,7.3,2.8,C
C1288035225688,BRK-015489,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1a-34-c-03,59.45,2.51,10.97,72.93,20.9,12.5,5.5,2.68,C
C1281069284863,FLT-015490,FLT - Moyenne Standard A1,Filtre à air moteur,A1c-35-a-10,15.89,0.81,3.32,20.02,36.2,23.3,4.9,0.23,A
C1288135099313,RAD-015491,RAD - Grande Piece A3 A1p,Radiateur refroidissement,A3-L17-H2-S02,184.43,7.70,16.87,209.00,83.0,56.0,5.4,4.51,C
C1289176171139,STR-015492,STR - Grande Piece A3 A1p,Jambe de force suspension,A3-L21-H3-S09,116.95,6.23,20.69,143.87,64.2,24.6,23.3,7.16,C
C1281848449521,ROT-015493,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-10-b-02,107.18,4.54,19.23,130.95,32.2,33.6,5.7,6.46,C
C1283445235196,FUS-015494,FUS - Petite Piece A2,Boîte fusibles relais,A2-C03-T12-B,10.08,0.57,1.93,12.58,9.7,6.6,3.8,0.07,C
C1284271084833,BLB-015495,BLB - Petite Piece A2,Ampoule LED H7,A2-C15-T05-H,23.40,0.86,4.40,28.66,6.9,6.0,4.6,0.08,A
C1286130106179,BRK-015496,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-13-b-05,59.51,2.24,9.46,71.21,15.9,13.8,7.7,1.81,C
C1287753414701,FLT-015497,FLT - Moyenne Standard A1,Filtre à air moteur,A1a-26-b-05,14.75,0.52,4.41,19.68,29.2,17.6,5.4,0.34,C
C1282074663915,ALT-015498,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1a-30-a-11,143.53,7.09,19.73,170.35,20.3,22.8,24.4,5.91,C
C1285563422004,ROT-015499,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-05-c-11,105.90,5.12,22.30,133.32,26.9,27.6,7.0,9.1,C
C1289812856749,BLB-015500,BLB - Petite Piece A2,Ampoule LED H7,A2-C19-T07-F,14.35,0.58,2.89,17.82,7.0,4.8,4.1,0.1,C
C1283105714259,ALT-015501,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-34-a-08,275.10,15.16,26.02,316.28,20.6,24.6,21.3,6.18,C
C1286994311712,BMP-015502,BMP - Grande Piece A3 A1p,Pare-chocs AV primaire,A1p-05-11-H4,266.95,14.54,34.01,315.50,178.4,56.7,35.2,11.53,B
C1284944153095,BRK-015503,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1a-02-c-02,35.66,1.82,10.41,47.89,24.3,14.8,6.5,2.94,C
C1288304921402,ROT-015504,ROT - Moyenne Standard A1,Disque de frein ventilé,A1b-39-c-09,47.01,2.59,29.15,78.75,35.2,31.2,5.1,13.81,B
