sku,oem_cross_ref,categorie,designation,marque,location_id,stock_systeme,stock_physique_compte,stock_reserve,seuil_reappro,stock_securite,cout_unitaire_cad,prix_vente_cad,delai_fournisseur_j,classe_abc
AIR-02244,OEM-6859646,Filtration,Filtre à air (Wix),Wix,A-05-01-L4-D,9,9,2,8,3,14.02,19.19,43,A
CAL-02245,OEM-8314138,Freinage,Disque ventilé (Bosch),Bosch,B-13-03-L2-D,439,439,9,106,28,54.07,79.23,7,A
WAT-02246,OEM-7580234,Moteur & Refroidissement,Thermostat piloté (SKF),SKF,D-08-10-L4-E,26,26,15,24,8,47.65,67.93,13,C
STR-02247,OEM-9069732,Électrique,Alternateur 140A (Delphi),Delphi,B-22-09-L4-E,10,7,8,8,2,27.54,40.19,43,A
WAT-02248,OEM-2312059,Moteur & Refroidissement,Radiateur alu (Continental),Continental,C-01-04-L4-B,15,15,1,32,20,165.09,279.79,14,C
ARM-02249,OEM-2291048,Suspension,Rotule de direction (Bilstein),Bilstein,C-14-07-L2-D,2,2,2,11,3,93.14,150.76,21,A
ALT-02250,OEM-8828077,Électrique,Démarreur 1.8kW (Denso),Denso,B-03-08-L4-B,53,53,15,19,5,253.02,421.04,15,C
SUS-02251,OEM-4763093,Suspension,Rotule de direction (Moog),Moog,B-20-07-L4-A,63,63,10,31,20,69.75,113.26,11,A
ARM-02252,OEM-6845522,Suspension,Rotule de direction (KYB),KYB,A-01-02-L3-C,1,1,0,6,1,131.64,201.99,28,B
STR-02253,OEM-7431914,Suspension,Bras oscillant inférieur (Sachs),Sachs,C-15-05-L3-D,141,141,10,79,36,122.48,178.55,9,C
WAT-02254,OEM-7415849,Moteur & Refroidissement,Courroie accessoire (Continental),Continental,A-10-14-L1-D,12,12,2,6,3,133.97,203.78,36,B
SUS-02255,OEM-4819585,Suspension,Rotule de direction (Bilstein),Bilstein,A-11-14-L1-C,14,14,8,8,1,28.07,48.06,24,C
ALT-02256,OEM-3934135,Électrique,Alternateur 140A (Valeo),Valeo,B-14-06-L4-C,38,38,7,36,6,119.51,183.87,16,C
ARM-02257,OEM-4395044,Suspension,Rotule de direction (Monroe),Monroe,B-03-01-L1-E,14,14,2,10,2,25.51,36.7,30,B
ALT-02258,OEM-4829648,Électrique,Démarreur 1.8kW (Bosch),Bosch,A-15-05-L3-B,34,34,15,27,5,192.83,316.47,21,C
SUS-02259,OEM-5995160,Suspension,Rotule de direction (KYB),KYB,C-16-07-L1-A,72,72,6,36,12,103.58,140.28,21,A
FLT-02260,OEM-2506582,Filtration,Filtre carburant diesel (Purflux),Purflux,A-07-02-L4-D,1,1,0,10,4,17.57,29.77,19,C
WAT-02261,OEM-6686918,Moteur & Refroidissement,Radiateur alu (SKF),SKF,B-16-06-L4-E,6,6,5,8,3,130.71,218.15,39,C
ARM-02262,OEM-1304648,Suspension,Rotule de direction (Moog),Moog,C-01-08-L3-E,2,2,2,7,4,114.33,172.89,20,B
SUS-02263,OEM-6796761,Suspension,Amortisseur bitube (KYB),KYB,C-09-10-L2-C,60,60,9,22,12,52.81,75.03,12,C
STR-02264,OEM-1627175,Suspension,Rotule de direction (KYB),KYB,B-32-01-L1-E,14,14,9,7,3,106.6,159.95,24,C
BEL-02265,OEM-4316619,Moteur & Refroidissement,Kit distribution + pompe (Gates),Gates,C-11-03-L3-E,32,32,5,41,13,125.21,179.76,9,A
CAL-02266,OEM-1505840,Freinage,Disque ventilé (TRW),TRW,C-02-08-L1-A,14,14,0,7,1,100.8,172.06,30,C
BEL-02267,OEM-9782029,Moteur & Refroidissement,Thermostat piloté (Gates),Gates,A-05-06-L3-D,11,11,5,9,4,127.31,213.73,20,C
CAL-02268,OEM-4403935,Freinage,Étrier reconditionné (Brembo),Brembo,B-02-09-L3-C,14,14,1,30,16,84.92,122.38,10,C
WAT-02269,OEM-1795522,Moteur & Refroidissement,Kit distribution + pompe (Continental),Continental,D-04-07-L3-B,1,1,0,6,3,164.54,262.13,34,C
AIR-02270,OEM-6928056,Filtration,Filtre à huile (Mahle),Mahle,B-08-03-L3-E,44,44,6,36,20,30.01,43.13,18,C
SUS-02271,OEM-7010088,Suspension,Ressort hélicoïdal (Moog),Moog,A-20-09-L2-D,5,5,4,8,2,127.81,199.61,42,C
SEN-02272,OEM-8316828,Électrique,Capteur vilebrequin (Valeo),Valeo,B-27-07-L2-B,28,28,5,32,10,142.57,218.19,16,C
WAT-02273,OEM-2460296,Moteur & Refroidissement,Radiateur alu (SKF),SKF,C-05-03-L1-A,54,54,1,44,14,221.47,358.07,11,A
BEL-02274,OEM-7063772,Moteur & Refroidissement,Courroie accessoire (SKF),SKF,B-20-08-L4-B,5,5,3,4,2,164.04,226.39,24,B
BEL-02275,OEM-4681545,Moteur & Refroidissement,Courroie accessoire (Gates),Gates,C-17-06-L2-C,26,26,5,38,16,40.56,62.4,17,C
AIR-02276,OEM-7615331,Filtration,Filtre habitacle charbon (Mann-Filter),Mann-Filter,B-26-07-L1-A,15,15,6,9,2,18.66,26.04,16,C
FLT-02277,OEM-8018948,Filtration,Filtre à huile (Mahle),Mahle,D-09-03-L3-C,14,14,14,8,2,4.59,7.46,20,C
BEL-02278,OEM-8261718,Moteur & Refroidissement,Radiateur alu (Continental),Continental,B-08-02-L1-B,69,69,0,39,11,31.54,46.75,8,B
ALT-02279,OEM-8953566,Électrique,Sonde Lambda amont (Valeo),Valeo,A-05-06-L1-B,9,9,4,12,4,99.44,158.04,15,C
BRK-02280,OEM-9743068,Freinage,Étrier reconditionné (Bosch),Bosch,B-22-10-L2-A,1,1,0,9,2,113.74,154.65,44,C
FLT-02281,OEM-6488715,Filtration,Filtre carburant diesel (Mahle),Mahle,A-13-11-L3-B,4,4,4,7,4,31.55,52.03,28,B
CAL-02282,OEM-6821621,Freinage,Plaquettes AR (TRW),TRW,B-25-07-L3-A,13,13,2,6,4,142.45,239.56,16,A
AIR-02283,OEM-6788286,Filtration,Filtre à huile (Mahle),Mahle,B-23-03-L2-C,70,70,7,31,6,32.54,54.84,9,C
ROT-02284,OEM-3386363,Freinage,Disque ventilé (Ferodo),Ferodo,C-13-02-L2-B,110,110,5,79,39,39.02,66.4,5,A
FLT-02285,OEM-8214787,Filtration,Filtre carburant diesel (Mahle),Mahle,B-11-01-L4-B,22,22,10,30,8,19.6,30.13,8,C
ALT-02286,OEM-4174384,Électrique,Bobine d'allumage (Valeo),Valeo,D-09-02-L1-A,14,14,6,4,2,130.21,225.04,36,C
STR-02287,OEM-8953827,Suspension,Bras oscillant inférieur (KYB),KYB,B-03-01-L1-C,76,76,13,38,19,129.43,215.82,19,C
BEL-02288,OEM-1302161,Moteur & Refroidissement,Thermostat piloté (Continental),Continental,A-19-11-L1-B,11,11,8,6,3,199.08,313.5,44,A
SEN-02289,OEM-8204280,Électrique,Bobine d'allumage (NGK),NGK,A-13-07-L1-A,13,13,13,23,9,118.52,180.25,14,C
ROT-02290,OEM-5313390,Freinage,Plaquettes AR (TRW),TRW,B-34-08-L2-B,8,8,6,8,2,108.53,176.93,16,C
ARM-02291,OEM-8407213,Suspension,Rotule de direction (KYB),KYB,C-15-02-L2-E,225,225,14,101,21,181.72,259.51,8,C
CAB-02292,OEM-9408062,Filtration,Filtre à air (Purflux),Purflux,D-07-05-L1-E,445,445,2,94,42,35.34,56.48,9,C
SEN-02293,OEM-2082332,Électrique,Démarreur 1.8kW (Delphi),Delphi,A-14-03-L4-B,15,15,4,5,2,162.84,269.93,14,C
ARM-02294,OEM-7796311,Suspension,Bras oscillant inférieur (KYB),KYB,B-06-04-L2-B,15,15,13,10,2,99.04,162.1,26,C
AIR-02295,OEM-2909988,Filtration,Filtre carburant diesel (Mahle),Mahle,B-04-09-L2-D,30,30,11,30,9,34.22,53.66,8,C
STR-02296,OEM-3135045,Électrique,Sonde Lambda amont (Bosch),Bosch,B-21-03-L1-D,58,58,14,28,13,269.87,384.68,11,B
FLT-02297,OEM-1773642,Filtration,Filtre carburant diesel (Wix),Wix,A-10-13-L3-C,13,13,6,7,2,9.78,16.45,24,C
FLT-02298,OEM-1094398,Filtration,Filtre à air (Purflux),Purflux,C-04-05-L1-E,12,12,2,10,4,31.54,54.43,23,C
SUS-02299,OEM-1262439,Suspension,Ressort hélicoïdal (Monroe),Monroe,D-08-07-L2-A,17,17,4,42,14,54.75,79.54,13,C
ARM-02300,OEM-1455746,Suspension,Rotule de direction (Monroe),Monroe,B-05-06-L3-E,6,6,6,7,1,76.86,133.85,39,C
STR-02301,OEM-9872276,Électrique,Alternateur 140A (Bosch),Bosch,C-04-09-L4-B,7,7,3,9,3,260.68,433.89,30,C
BEL-02302,OEM-4813224,Moteur & Refroidissement,Radiateur alu (SKF),SKF,A-04-01-L4-A,67,67,10,24,11,23.73,37.69,10,A
ARM-02303,OEM-3296000,Suspension,Rotule de direction (Monroe),Monroe,D-05-02-L1-E,4,4,0,9,2,137.37,219.35,40,C
SEN-02304,OEM-6185028,Électrique,Alternateur 140A (Delphi),Delphi,A-14-01-L4-D,14,14,7,9,3,164.68,227.71,14,A
WAT-02305,OEM-4497544,Moteur & Refroidissement,Courroie accessoire (Nissens),Nissens,D-06-09-L4-E,24,24,4,38,9,149.37,238.36,7,C
BEL-02306,OEM-5367116,Moteur & Refroidissement,Thermostat piloté (Gates),Gates,B-26-06-L2-D,58,58,8,39,20,94.07,142.6,21,C
SEN-02307,OEM-8594444,Électrique,Sonde Lambda amont (Valeo),Valeo,B-34-07-L4-D,11,11,7,18,8,283.98,423.15,13,C
BEL-02308,OEM-6153000,Moteur & Refroidissement,Radiateur alu (Nissens),Nissens,D-10-07-L4-E,15,15,1,29,6,114.32,192.56,7,C
CAB-02309,OEM-3746221,Filtration,Filtre carburant diesel (Bosch),Bosch,B-11-08-L2-C,394,394,1,107,46,9.6,15.8,4,C
SUS-02310,OEM-1240145,Suspension,Amortisseur bitube (KYB),KYB,A-07-02-L1-B,5,5,3,11,3,151.95,260.68,14,B
CAB-02311,OEM-9129209,Filtration,Filtre carburant diesel (Purflux),Purflux,C-11-09-L4-A,6,6,5,6,2,23.93,36.87,40,C
RAD-02312,OEM-3327920,Moteur & Refroidissement,Kit distribution + pompe (Gates),Gates,B-12-01-L3-C,11,11,7,6,3,193.07,310.77,19,C
CAB-02313,OEM-3986923,Filtration,Filtre à huile (Wix),Wix,A-02-11-L1-B,32,32,11,35,20,11.09,16.83,11,B
CAL-02314,OEM-9514382,Freinage,Plaquettes AR (Brembo),Brembo,B-17-01-L2-C,10,10,4,3,1,96.04,165.13,28,C
SUS-02315,OEM-8891753,Suspension,Amortisseur bitube (Monroe),Monroe,A-17-08-L4-B,67,67,7,23,8,203.23,351.46,16,A
SUS-02316,OEM-5209458,Suspension,Ressort hélicoïdal (Sachs),Sachs,B-07-04-L2-A,4,4,3,4,1,130.35,225.36,15,C
RAD-02317,OEM-6906220,Moteur & Refroidissement,Courroie accessoire (Valeo),Valeo,B-38-03-L2-C,48,48,10,44,14,152.86,260.72,8,C
ALT-02318,OEM-7273475,Électrique,Démarreur 1.8kW (Delphi),Delphi,D-04-07-L4-C,7,7,7,7,1,207.26,331.21,18,A
WAT-02319,OEM-9301080,Moteur & Refroidissement,Thermostat piloté (Nissens),Nissens,B-08-10-L2-A,80,80,12,78,21,170.72,242.19,4,C
FLT-02320,OEM-6561921,Filtration,Filtre à huile (Bosch),Bosch,D-02-05-L4-E,1,1,0,5,2,25.42,35.91,22,C
WAT-02321,OEM-3904235,Moteur & Refroidissement,Thermostat piloté (Nissens),Nissens,A-09-14-L1-E,12,12,10,3,1,179.2,264.87,23,C
ALT-02322,OEM-3579031,Électrique,Sonde Lambda amont (Bosch),Bosch,D-08-07-L2-C,11,11,5,9,3,95.87,131.12,27,A
AIR-02323,OEM-2693747,Filtration,Filtre carburant diesel (Bosch),Bosch,C-17-08-L2-E,68,68,6,40,13,23.44,35.38,21,C
SEN-02324,OEM-2229067,Électrique,Sonde Lambda amont (NGK),NGK,C-02-05-L2-A,23,23,15,31,11,168.52,294.71,7,B
SUS-02325,OEM-4309846,Suspension,Ressort hélicoïdal (Moog),Moog,A-16-01-L1-A,435,435,4,110,59,60.07,104.42,8,C
CAL-02326,OEM-2819935,Freinage,Plaquettes AV (Brembo),Brembo,B-06-03-L1-C,7,7,0,8,2,35.94,54.66,27,C
CAL-02327,OEM-2284095,Freinage,Disque ventilé (TRW),TRW,B-01-01-L2-C,73,73,4,36,6,136.74,206.07,17,A
STR-02328,OEM-9987380,Électrique,Bobine d'allumage (Valeo),Valeo,B-35-07-L4-B,226,226,0,83,27,152.13,238.31,3,C
BRK-02329,OEM-1684769,Freinage,Plaquettes AR (Ferodo),Ferodo,B-04-06-L2-E,409,409,7,90,27,58.03,89.34,8,C
SUS-02330,OEM-4580950,Suspension,Amortisseur bitube (Sachs),Sachs,D-08-01-L3-A,5,5,4,11,4,31.14,43.85,43,C
CAL-02331,OEM-7609313,Freinage,Plaquettes AV (Brembo),Brembo,B-31-07-L2-B,145,145,5,115,37,44.11,60.38,3,C
RAD-02332,OEM-2757308,Moteur & Refroidissement,Thermostat piloté (SKF),SKF,C-03-04-L2-A,2,2,1,10,4,180.94,285.84,41,A
BRK-02333,OEM-7623501,Freinage,Plaquettes AR (Bosch),Bosch,B-19-01-L2-E,418,418,12,129,56,109.33,165.12,9,A
ARM-02334,OEM-9953141,Suspension,Ressort hélicoïdal (Moog),Moog,B-22-05-L3-A,75,75,4,38,13,35.22,53.21,13,C
ARM-02335,OEM-8907326,Suspension,Bras oscillant inférieur (Monroe),Monroe,B-40-02-L4-B,249,249,15,137,58,135.75,211.98,6,C
FLT-02336,OEM-6279962,Filtration,Filtre à air (Wix),Wix,C-08-01-L3-D,19,19,1,50,20,20.02,34.81,12,C
AIR-02337,OEM-5710445,Filtration,Filtre carburant diesel (Mann-Filter),Mann-Filter,C-12-03-L4-B,13,13,2,9,3,8.04,11.89,33,C
WAT-02338,OEM-8651304,Moteur & Refroidissement,Radiateur alu (Valeo),Valeo,B-25-06-L1-E,57,57,11,81,42,212.32,330.79,6,C
STR-02339,OEM-9597561,Suspension,Rotule de direction (KYB),KYB,C-14-02-L2-D,8,8,4,7,2,70.55,102.82,27,C
SEN-02340,OEM-8829120,Électrique,Bobine d'allumage (Valeo),Valeo,C-11-10-L3-C,1,1,1,3,1,300.15,442.41,40,A
ROT-02341,OEM-3314882,Freinage,Plaquettes AV (TRW),TRW,D-08-02-L1-D,13,13,7,3,1,57.91,78.23,40,C
BRK-02342,OEM-2044804,Freinage,Plaquettes AR (Ferodo),Ferodo,A-10-06-L2-E,178,178,5,103,40,48.78,80.53,4,A
BRK-02343,OEM-4555545,Freinage,Disque ventilé (Bosch),Bosch,B-31-06-L4-D,384,384,5,85,46,98.38,142.0,3,C
STR-02344,OEM-7587107,Électrique,Capteur vilebrequin (NGK),NGK,C-06-06-L1-C,17,17,11,41,12,132.38,185.99,18,C
STR-02345,OEM-3392300,Suspension,Ressort hélicoïdal (Sachs),Sachs,D-09-06-L1-A,5,5,4,8,1,204.07,352.26,22,C
BRK-02346,OEM-2446123,Freinage,Flexible de frein (Bosch),Bosch,B-28-05-L3-E,71,71,12,37,11,89.47,145.45,9,A
BRK-02347,OEM-5743957,Freinage,Plaquettes AR (Textar),Textar,B-25-04-L2-D,54,54,14,132,55,113.75,189.7,6,A
STR-02348,OEM-5895285,Suspension,Amortisseur bitube (KYB),KYB,C-08-07-L1-E,7,7,3,4,1,106.44,148.99,32,C
SEN-02349,OEM-4805738,Électrique,Capteur vilebrequin (NGK),NGK,B-07-06-L4-E,6,6,2,11,3,176.21,294.91,19,C
SEN-02350,OEM-9449646,Électrique,Sonde Lambda amont (Denso),Denso,B-02-04-L3-D,6,8,5,7,3,162.17,273.56,30,A
FLT-02351,OEM-5281726,Filtration,Filtre carburant diesel (Mann-Filter),Mann-Filter,B-39-09-L1-E,173,173,7,102,40,15.89,24.64,8,C
SEN-02352,OEM-3705819,Électrique,Capteur vilebrequin (Delphi),Delphi,B-15-09-L4-C,146,146,14,76,41,311.1,462.1,9,B
SUS-02353,OEM-6921046,Suspension,Bras oscillant inférieur (Monroe),Monroe,A-02-06-L2-D,3,0,3,4,1,199.21,299.52,37,B
BRK-02354,OEM-4654880,Freinage,Plaquettes AR (Bosch),Bosch,A-15-02-L4-A,30,30,11,31,8,21.91,34.59,10,C
FLT-02355,OEM-9835857,Filtration,Filtre carburant diesel (Mahle),Mahle,C-17-01-L1-D,4,4,3,8,2,7.21,12.26,17,A
ROT-02356,OEM-6241112,Freinage,Disque ventilé (Brembo),Brembo,B-28-08-L2-E,12,12,9,6,4,84.08,139.22,34,A
SUS-02357,OEM-8116678,Suspension,Ressort hélicoïdal (Monroe),Monroe,B-19-02-L4-D,8,8,6,5,1,68.4,99.5,21,C
STR-02358,OEM-6724066,Suspension,Bras oscillant inférieur (KYB),KYB,C-14-02-L3-A,61,61,4,105,32,91.71,145.7,8,A
STR-02359,OEM-1897490,Suspension,Rotule de direction (Sachs),Sachs,D-02-05-L1-D,12,12,7,6,2,61.83,83.88,15,C
AIR-02360,OEM-9428232,Filtration,Filtre carburant diesel (Wix),Wix,D-10-03-L1-B,17,17,13,34,7,19.21,32.96,11,C
ROT-02361,OEM-2882560,Freinage,Flexible de frein (Textar),Textar,B-24-06-L3-A,9,9,0,6,2,87.44,148.12,41,C
FLT-02362,OEM-4452747,Filtration,Filtre habitacle charbon (Mann-Filter),Mann-Filter,B-36-04-L3-C,67,67,4,21,7,20.23,27.77,12,B
RAD-02363,OEM-3626861,Moteur & Refroidissement,Courroie accessoire (Nissens),Nissens,B-25-02-L2-E,14,14,10,11,3,84.82,146.91,38,C
FLT-02364,OEM-9281157,Filtration,Filtre carburant diesel (Bosch),Bosch,A-05-06-L2-B,14,14,3,7,2,29.7,43.79,33,A
CAL-02365,OEM-9550169,Freinage,Étrier reconditionné (Textar),Textar,C-16-07-L3-A,10,10,10,22,11,29.27,40.12,8,B
BRK-02366,OEM-5286932,Freinage,Plaquettes AR (Ferodo),Ferodo,B-32-05-L4-A,15,15,11,10,2,63.76,95.16,16,B
RAD-02367,OEM-6345529,Moteur & Refroidissement,Thermostat piloté (Nissens),Nissens,B-30-03-L2-C,32,32,10,25,12,238.73,373.81,9,A
STR-02368,OEM-1583209,Suspension,Amortisseur bitube (Bilstein),Bilstein,B-39-03-L1-C,1,1,1,10,2,28.34,43.17,44,C
CAB-02369,OEM-6672653,Filtration,Filtre à air (Wix),Wix,C-17-10-L3-A,14,14,5,6,3,10.94,18.99,41,C
STR-02370,OEM-7460592,Électrique,Alternateur 140A (Delphi),Delphi,D-03-08-L3-A,5,5,5,5,1,50.79,84.55,15,C
BEL-02371,OEM-9341537,Moteur & Refroidissement,Courroie accessoire (Continental),Continental,B-38-04-L1-A,31,31,0,30,7,71.56,105.37,7,C
BRK-02372,OEM-9473140,Freinage,Plaquettes AV (Ferodo),Ferodo,B-24-05-L3-C,7,9,6,6,3,108.21,180.12,24,A
ARM-02373,OEM-4319954,Suspension,Ressort hélicoïdal (Moog),Moog,B-31-09-L3-A,8,8,5,10,4,173.4,269.94,26,B
SEN-02374,OEM-6042782,Électrique,Sonde Lambda amont (Valeo),Valeo,B-18-10-L2-B,53,53,4,43,17,318.5,513.52,11,C
SUS-02375,OEM-8376729,Suspension,Amortisseur bitube (Sachs),Sachs,B-16-05-L3-C,18,18,13,27,11,44.12,71.35,10,C
RAD-02376,OEM-8431948,Moteur & Refroidissement,Radiateur alu (Continental),Continental,B-31-02-L1-E,4,4,2,8,2,228.17,349.12,37,A
SEN-02377,OEM-2296114,Électrique,Bobine d'allumage (Bosch),Bosch,A-18-08-L1-B,8,8,0,9,2,316.87,465.64,21,C
SEN-02378,OEM-7869289,Électrique,Bobine d'allumage (Denso),Denso,A-04-04-L2-B,269,269,15,84,42,186.27,321.9,10,A
SUS-02379,OEM-5360973,Suspension,Amortisseur bitube (Bilstein),Bilstein,B-29-06-L3-D,122,122,14,93,35,59.56,86.17,3,A
CAB-02380,OEM-6339915,Filtration,Filtre habitacle charbon (Bosch),Bosch,A-04-04-L3-E,73,73,2,34,19,8.39,11.68,13,A
CAL-02381,OEM-1839485,Freinage,Flexible de frein (Brembo),Brembo,B-36-06-L3-D,12,12,8,5,3,98.94,157.57,30,C
BRK-02382,OEM-2578562,Freinage,Plaquettes AV (Brembo),Brembo,B-25-10-L4-D,133,133,9,115,53,60.28,89.1,5,C
BRK-02383,OEM-3873977,Freinage,Étrier reconditionné (Textar),Textar,D-02-06-L4-D,1,1,1,8,3,136.51,212.8,35,C
BRK-02384,OEM-6548823,Freinage,Flexible de frein (Brembo),Brembo,B-22-08-L2-D,5,5,2,8,3,56.99,90.07,42,C
SUS-02385,OEM-3053959,Suspension,Amortisseur bitube (Sachs),Sachs,A-18-13-L4-E,8,8,6,10,4,204.83,290.47,22,C
WAT-02386,OEM-8895333,Moteur & Refroidissement,Kit distribution + pompe (Continental),Continental,C-17-04-L4-B,11,11,4,6,1,122.81,204.34,24,C
CAB-02387,OEM-6703045,Filtration,Filtre carburant diesel (Bosch),Bosch,C-08-05-L2-B,7,7,6,12,4,14.93,21.6,38,A
RAD-02388,OEM-4218275,Moteur & Refroidissement,Radiateur alu (Valeo),Valeo,A-15-04-L1-D,10,10,6,6,4,107.4,145.13,44,C
ROT-02389,OEM-8893836,Freinage,Plaquettes AR (Ferodo),Ferodo,A-07-12-L2-D,40,40,13,22,7,126.96,181.42,21,C
FLT-02390,OEM-3425211,Filtration,Filtre habitacle charbon (Mann-Filter),Mann-Filter,B-32-04-L4-D,9,7,2,10,3,30.55,52.18,28,C
ROT-02391,OEM-3305829,Freinage,Plaquettes AV (Ferodo),Ferodo,A-10-07-L4-E,1,1,0,5,2,89.15,137.41,39,C
STR-02392,OEM-2813885,Électrique,Sonde Lambda amont (Valeo),Valeo,B-24-06-L2-A,194,194,8,109,50,259.17,371.83,4,C
STR-02393,OEM-2029059,Électrique,Sonde Lambda amont (Bosch),Bosch,B-01-05-L2-A,68,68,12,32,7,187.93,313.57,12,C
BEL-02394,OEM-7756173,Moteur & Refroidissement,Kit distribution + pompe (SKF),SKF,B-24-09-L3-D,62,62,3,26,14,93.77,135.3,20,C
ALT-02395,OEM-2849790,Électrique,Capteur vilebrequin (Delphi),Delphi,C-16-07-L3-A,22,22,12,37,12,203.96,318.25,10,A
CAB-02396,OEM-1552433,Filtration,Filtre à air (Mahle),Mahle,A-12-12-L1-C,12,12,12,7,3,17.49,24.96,34,C
ROT-02397,OEM-1861165,Freinage,Plaquettes AV (Textar),Textar,C-17-09-L1-D,15,15,5,4,1,119.78,202.4,22,C
BEL-02398,OEM-5748049,Moteur & Refroidissement,Thermostat piloté (Nissens),Nissens,B-12-03-L1-B,4,4,2,10,2,153.98,255.36,23,C
SEN-02399,OEM-8771860,Électrique,Démarreur 1.8kW (Denso),Denso,B-35-09-L2-E,34,34,0,26,6,132.51,209.56,8,C
SUS-02400,OEM-3163181,Suspension,Rotule de direction (KYB),KYB,B-27-03-L1-D,112,112,8,70,39,199.24,274.52,3,A
STR-02401,OEM-5458210,Suspension,Bras oscillant inférieur (Monroe),Monroe,C-01-07-L4-E,56,61,8,34,10,153.92,234.38,12,B
CAB-02402,OEM-6713652,Filtration,Filtre à air (Mahle),Mahle,A-03-07-L3-E,5,5,5,7,1,16.72,28.4,30,C
ALT-02403,OEM-1634368,Électrique,Bobine d'allumage (Valeo),Valeo,A-11-03-L1-B,11,11,10,5,2,110.38,153.91,45,C
CAB-02404,OEM-9809762,Filtration,Filtre à air (Mahle),Mahle,B-37-01-L2-C,14,14,2,6,3,20.76,28.16,23,C
SUS-02405,OEM-9768935,Suspension,Ressort hélicoïdal (Monroe),Monroe,A-10-10-L4-C,2,2,1,5,3,59.63,84.78,32,C
STR-02406,OEM-2423637,Suspension,Amortisseur bitube (Moog),Moog,A-04-11-L4-A,15,15,6,9,2,49.72,70.37,25,B
ALT-02407,OEM-1351207,Électrique,Alternateur 140A (Denso),Denso,A-09-03-L1-C,273,273,5,64,28,223.39,355.4,3,A
RAD-02408,OEM-1786572,Moteur & Refroidissement,Thermostat piloté (Valeo),Valeo,C-14-06-L2-E,6,6,4,7,1,160.69,238.01,44,C
STR-02409,OEM-4385952,Électrique,Capteur vilebrequin (Valeo),Valeo,A-20-14-L1-C,3,3,1,6,2,236.79,326.75,33,C
ALT-02410,OEM-2212531,Électrique,Sonde Lambda amont (NGK),NGK,B-34-02-L3-E,43,43,0,44,17,21.51,34.48,14,C
SUS-02411,OEM-7616774,Suspension,Rotule de direction (Monroe),Monroe,C-12-07-L4-A,9,9,2,6,1,192.56,294.4,36,C
AIR-02412,OEM-8111801,Filtration,Filtre à air (Mahle),Mahle,A-14-02-L2-A,329,329,6,114,60,30.59,46.23,9,C
RAD-02413,OEM-3986338,Moteur & Refroidissement,Courroie accessoire (Nissens),Nissens,B-30-06-L4-C,7,7,5,3,1,77.2,129.22,14,C
ALT-02414,OEM-9827362,Électrique,Sonde Lambda amont (Delphi),Delphi,D-09-10-L2-D,6,6,0,7,2,171.45,295.59,44,C
STR-02415,OEM-7624941,Électrique,Capteur vilebrequin (Valeo),Valeo,A-16-10-L2-E,80,80,7,40,16,187.24,298.84,21,C
SEN-02416,OEM-9059894,Électrique,Sonde Lambda amont (Delphi),Delphi,C-19-04-L3-C,13,13,9,8,4,142.65,194.86,38,C
SEN-02417,OEM-1240045,Électrique,Démarreur 1.8kW (Valeo),Valeo,B-04-01-L3-D,216,216,12,81,22,286.68,485.31,7,C
AIR-02418,OEM-9785191,Filtration,Filtre habitacle charbon (Mahle),Mahle,A-15-08-L3-D,52,52,10,113,35,33.53,56.68,8,B
BRK-02419,OEM-9357627,Freinage,Plaquettes AR (TRW),TRW,B-04-06-L3-D,379,379,7,108,54,132.78,210.42,6,C
ARM-02420,OEM-9597894,Suspension,Bras oscillant inférieur (Moog),Moog,A-15-09-L4-B,115,115,2,98,38,194.41,329.53,10,A
RAD-02421,OEM-5209708,Moteur & Refroidissement,Kit distribution + pompe (Gates),Gates,B-09-10-L4-C,10,10,1,11,4,27.79,44.01,30,C
ROT-02422,OEM-4298171,Freinage,Plaquettes AR (TRW),TRW,B-21-06-L4-C,27,27,5,23,10,135.29,191.43,11,C
SEN-02423,OEM-2344941,Électrique,Capteur vilebrequin (Denso),Denso,A-09-13-L4-D,4,4,2,10,3,70.13,100.38,18,C
FLT-02424,OEM-1260877,Filtration,Filtre habitacle charbon (Bosch),Bosch,D-03-09-L3-D,72,72,9,29,5,21.16,32.43,10,A
BRK-02425,OEM-1971341,Freinage,Disque ventilé (Bosch),Bosch,B-27-07-L4-E,18,18,4,45,19,54.23,90.08,15,C
STR-02426,OEM-6484023,Suspension,Rotule de direction (Moog),Moog,B-40-08-L3-D,15,12,1,9,3,141.61,204.04,19,C
STR-02427,OEM-2621027,Électrique,Bobine d'allumage (NGK),NGK,A-18-14-L3-A,277,277,10,77,46,34.24,47.5,6,C
ROT-02428,OEM-7949071,Freinage,Plaquettes AR (Bosch),Bosch,A-18-04-L4-E,256,256,1,101,35,139.86,189.03,8,A
BEL-02429,OEM-9052430,Moteur & Refroidissement,Thermostat piloté (SKF),SKF,B-08-04-L3-C,10,10,10,4,2,39.49,53.63,17,C
AIR-02430,OEM-1610400,Filtration,Filtre carburant diesel (Purflux),Purflux,C-11-04-L1-C,78,78,1,33,8,12.1,17.68,19,C
SUS-02431,OEM-9503163,Suspension,Bras oscillant inférieur (KYB),KYB,A-16-04-L1-B,30,28,4,19,8,204.95,290.76,15,C
ALT-02432,OEM-7807744,Électrique,Alternateur 140A (Valeo),Valeo,B-29-10-L4-C,2,2,2,7,4,117.13,186.84,19,A
